"movie_id","score","genre_id"
2571,301895.0,0
260,283127.0,0
2959,248510.5,0
1196,237711.0,0
110,236870.5,0
480,235997.0,0
589,226439.0,0
1198,225475.5,0
1210,219476.5,0
7153,207777.0,0
2028,189195.5,0
3578,176457.0,0
58559,172990.5,0
780,164992.0,0
79132,161628.5,0
1197,156340.0,0
1291,151071.0,0
541,151059.5,0
1240,150463.5,0
592,150278.5,0
380,145533.5,0
1036,144412.5,0
1580,144371.5,0
377,143782.5,0
6539,141061.0,0
293,137704.0,0
6874,130498.5,0
1200,126715.0,0
648,125980.0,0
1527,124985.0,0
2716,120734.0,0
33794,120587.0,0
165,118280.0,0
8961,117813.0,0
733,117318.5,0
3793,115988.0,0
5418,113096.5,0
5445,111419.5,0
367,110200.0,0
7438,108969.5,0
1208,108505.0,0
3996,107502.0,0
5349,104394.0,0
316,104199.5,0
44191,101570.0,0
349,101490.0,0
736,98988.0,0
59315,98417.5,0
2628,97735.0,0
10,96707.5,0
6,94784.5,0
68157,92571.0,0
1387,91488.5,0
2115,89833.5,0
153,89311.5,0
72998,88919.0,0
1610,85620.0,0
292,84444.0,0
32587,84186.5,0
6016,83188.5,0
99114,82849.0,0
2916,80895.0,0
54286,80245.5,0
2683,79686.5,0
1517,79329.0,0
91529,79077.5,0
208,78441.5,0
49272,78151.5,0
1220,77751.5,0
8665,77438.0,0
6365,77192.5,0
288,75772.5,0
1201,74997.0,0
2692,74997.0,0
6333,71891.0,0
185,71421.5,0
8636,71407.5,0
908,70713.0,0
434,70404.5,0
1356,70175.5,0
2000,69997.5,0
1101,69874.0,0
1917,67855.0,0
1573,66989.0,0
474,66967.5,0
51662,66958.5,0
89745,66426.5,0
1127,64444.0,0
5378,64369.0,0
112852,64190.0,0
95,63520.5,0
33493,63382.5,0
2194,61931.5,0
68358,61753.5,0
1304,61665.0,0
6502,61486.0,0
3527,61296.0,0
2617,61235.0,0
8644,60100.0,0
48774,58714.0,0
4262,58667.0,0
1374,58445.0,0
6934,58017.5,0
7143,57807.0,0
353,57058.0,0
1370,57049.0,0
2019,56873.5,0
1676,56738.5,0
1233,56017.0,0
442,55553.5,0
45722,55506.5,0
51255,55297.5,0
2353,55053.0,0
3623,54660.0,0
73017,54386.0,0
3000,54358.0,0
81834,54321.0,0
122904,53552.0,0
553,53080.0,0
1391,52914.0,0
88125,52568.5,0
3753,52343.0,0
122882,51962.0,0
2985,51595.5,0
71535,51281.5,0
2640,50076.0,0
5010,49548.5,0
56174,49510.0,0
3977,49341.0,0
111759,48955.5,0
163,48892.5,0
